artist,id
Britney Spears,26dSoYclwsYLMAKD3tpOr4
blink-182,6FBDaR13swtiWwGhX1WQsP
Faith Hill,25NQNriVT2YbSW80ILRWJa
Bon Jovi,58lV9VcRSjABbAbfWS6skp
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o
Sisqo,6x9QLdzo6eBZxJ1bHsDkjg
Eminem,7dGJo4pcD2V6oG8kP0tJRR
Robbie Williams,2HcwFjNelS49kFbfvMxQYw
Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i
Coldplay,4gzpq5DPGxSnKTe4SA8HAU
Linkin Park,6XyY86QOPPrYVGvF9ch6wz
Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5
3 Doors Down,2RTUTCvo6onsAnheUk3aL9
Modjo,0AkpPlFLnr0VQwZQeMGht0
Alice Deejay,2tbvDi9eXf9XXp06LupkED
Wheatus,4mYFgEjpQT4IKOrjOUKyXu
Gigi D'Agostino,1OAjDaKgg00KCUYqDe68un
Limp Bizkit,165ZgPlLkK7bf5bDoFc6Sb
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7
DMX,1HwM5zlC5qNWhJtM00yXzG
Darude,0LhHRmSd1EYM5QdNeNnCoQ
Lonestar,3qbnxnvUqR14MJ9g8QwZJK
Craig David,2JyWXPbkqI5ZJa3gwqVa0c
Westlife,5Z1CCuBsyhEHngq3U5IraY
Creed,43sZBwHjahUvgbx1WNIkIz
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB
Nelly,2gBjLmx6zQnFGQJCAQpRgw
LeAnn Rimes,2d3VHzlOEwXvmBdS4pzOPL
The Corrs,1VbWUxZTRNY2gw3qZ1tg9W
Toni Braxton,3X458ddYA2YcVWuVIGGOYe
Joe,3zTOe1BtyTkwNvYZOxXktX
Nine Days,306JHpIRGVaQd6OltnOzUO
Aaliyah,0urTpYCsixqZwgNTkPJOJ4
Céline Dion,4S9EykWXhStSc15wEx8QFK
Santana,6GI52t8N5F02MxU0g5U69P
Tom Jones,1T0wRBO0CK0vK8ouUMqEl5
Baha Men,67FFKYikvTlvsPNk4NPOYJ
Mary Mary,12Kgt2eahvxNWhD5PnSUde
Lee Ann Womack,738OS3zrCO782uDiUN9pet
Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS
Donell Jones,5KNqYrivNgVCHBssEUSu5B
Third Eye Blind,6TcnmlCSxihzWOQJ8k0rNS
Sonique,5xtqw2B8z8JGfDYi2eAZHI
Filter,01WjpKiWVNurV5hjIadB8C
U2,51Blml2LZPmy7TTiAg47vQ
Vertical Horizon,6Hizgjo92FnMp8wGaRUNTn
Fuel,0EyuKHE1AeE9lWUF8mzKVp
Vengaboys,0cwmNvclzPd8mQnoHuIksj
Gabrielle,7rftfGIYEeZ79sLb58ZBDi
Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ
Ronan Keating,3nlHsNqwCSvT988ZfSW1Yh
DJ Ötzi,0DR4z5jMA1eqx0CmHBUpkr
Melanie C,60vX3zLcdKRXvKLITVh5Df
Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ
Ruff Endz,7liFhc0PDIx8etigqd2WhW
Next,2MGT7CYlixSPxAnnkhLpaA
Everclear,694QW15WkebjcrWgQHzRYF
Mystikal,3LIJJJkO7R5RasRwt7xIn5
P!nk,1KCSPY1glIKqW2TotWuXOR
Mýa,6lHL3ubAMgSasKjNqKb8HF
Eiffel 65,64rxQRJsLgZwHHyWKB8fiF
Samantha Mumba,7L12TqJ0fbwtFljTbwfwRI
Kandi,0ThrQemMA2B8xxusTUl8IM
Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6
Madison Avenue,6otgz5gkB40UnWFwTy0VDh
S Club 7,1kM5rgJvkiDMOoKX56H6pX
Montell Jordan,0iVrCROxeyon7MZUW3MfzT
Bomfunk MC's,0NeC6ploeJUq8oDwYQjNPS
Savage Garden,3NRFinRTEqUCfaTTZmk8ek
Erykah Badu,7IfculRW2WXyzNQ8djX8WX
Carl Thomas,6I6t21SFbxZ7RbQgD5dN7U
Jagged Edge,7Aq8lpLMSt1Zxu56pe9bmp
Avant,0AunegKKH2ys98aLxq8G1A
Da Brat,2I1bnmb9VQEQGKHxvr0gSf
Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw
Moloko,4aaBjq7VqqQvpSF69GglvO
Matchbox Twenty,3Ngh2zDBRPEriyxQDAMKd1
Shaggy,5EvFsr3kj42KNv97ZEnqij
Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA
Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc
Shakira,0EmeFodog0BfCgMzAIvKQp
Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s
Train,3FUY2gzHeIiaesXtOAdB7A
Outkast,1G9G7WwrXka3Z1r7aIDjI7
Nickelback,6deZN1bslXzeGvOLaLMOIF
Weezer,3jOstUTkEu2JkjvRdBA5Gu
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi
Mary J. Blige,1XkoF8ryArs86LZvFOkbyr
Alien Ant Farm,6TZdvF1kFzwnQLgHQynzsO
Incubus,3YcBF2ttyueytpXtEzn1Za
Eve,4d3yvTptO48nOYTPBcPFZC
Sum 41,0qT79UgT5tY4yudH9VfsdT
Dido,2mpeljBig2IXLXRAFO9AAs
John Mayer,0hEurMDQu99nJRq8pTxO14
Crazy Town,4iSKnRZAxkmqNok6tv10Se
Usher,23zg3TcAtWQy7J6upgbUnj
Enya,6uothxMWeLWIhsGeF7cyo4
Gorillaz,3AA28KZvwAUcZuOKwyblJQ
Uncle Kracker,2DnqqkzzDKm3vAoyHtn8So
P.O.D.,6KO6G41BBLTDNYOLefWTMU
Lenny Kravitz,5gznATMVO85ZcLTkE9ULU7
Travis,3bUwxJgNakzYKkqAVgZLlh
Missy Elliott,2wIVse2owClT7go1WT98tk
Five For Fighting,7FgMLbnZVrEnir95O0YujA
Blu Cantrell,6vytZ677lz4LzCrUDcDokM
Afroman,4Icvbp9RDt5aY2TWDOVDsr
D12,5Qi4Bb7a8C0a00NZcA77L0
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm
Staind,5KDIH2gF0VpelTqyQS7udb
Ginuwine,7r8RF1tN2A4CiGEplkp1oP
Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR
Lifehouse,5PokPZn11xzZXyXSfnvIM3
Ja Rule,1J2VVASYAamtQ3Bt8wGgA6
The Strokes,0epOFNiUfyON9EYx7Tpr6V
Atomic Kitten,6JMHws5haIO6V35YNYDnDw
Lasgo,25Kw8f1zcn9VtUk5Nl3qrp
Jamiroquai,6J7biCazzYhU3gM9j1wfid
Blue,2yEkZBBjhzKzt6LF5XMaFi
112,7urq0VfqxEYEEiZUkebXT4
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W
Trick Daddy,12FHARd9fY0Tu0ila4Ua25
The Supermen Lovers,08dJ0NJ9jMf8qdLmdhQ2yA
Geri Halliwell,5orH1OWgjAYUX8sZ5gihTv
Sunshine Anderson,0hnmRa5ahunapQbPjKUbMK
Case,5aEWnrN8h3MhuFUPRfaVuy
