id,year,top_100_rank,track_name,artist,explicit,duration_ms,popularity,album_name,album_type,release_date,num_tracks_in_album
1,2000,1,"Oops!...I Did It Again","Britney Spears",False,211160,74,"Oops!... I Did It Again",album,2000-05-16,12
2,2000,2,"All The Small Things","blink-182",False,167066,77,"Enema Of The State",album,1999-06-01,12
3,2000,3,"Breathe","Faith Hill",False,250546,63,"Breathe",album,1999-11-09,13
4,2000,4,"It's My Life","Bon Jovi",False,224493,76,"Crush",album,2000-01-01,12
5,2000,5,"Bye Bye Bye","*NSYNC",False,200400,67,"No Strings Attached",album,2000-03-21,12
6,2000,6,"Thong Song","Sisqo",True,253733,66,"Unleash The Dragon",album,1999-01-01,13
7,2000,7,"The Real Slim Shady","Eminem",True,284200,84,"The Marshall Mathers LP",album,2000-05-23,18
8,2000,8,"Rock DJ","Robbie Williams",False,260560,51,"Sing When You're Winning",album,2013-01-01,13
9,2000,9,"Say My Name","Destiny's Child",False,271333,73,"The Writing's On The Wall",album,1999-07-27,16
10,2000,10,"Yellow","Coldplay",False,266773,85,"Parachutes",album,2000-07-10,10
11,2000,11,"In the End","Linkin Park",False,216880,82,"Hybrid Theory (Bonus Edition)",album,2000-10-24,15
12,2000,12,"The Next Episode","Dr. Dre",True,161506,77,"2001",album,1999-11-16,23
13,2000,13,"Otherside","Red Hot Chili Peppers",False,255373,76,"Californication (Deluxe Edition)",album,1999-06-08,18
14,2000,14,"Kryptonite","3 Doors Down",False,233933,76,"The Better Life",album,2000,11
15,2000,15,"Lady - Hear Me Tonight","Modjo",False,307153,73,"Modjo (Remastered)",album,2001,12
16,2000,16,"Better Off Alone","Alice Deejay",False,214883,72,"Who Needs Guitars Anyway?",album,2000-10-01,14
17,2000,17,"Teenage Dirtbag","Wheatus",True,241666,71,"Wheatus",album,1999-02-15,10
18,2000,18,"L'Amour Toujours","Gigi D'Agostino",False,242053,71,"L'Amour Toujours",single,2001-05-23,1
19,2000,19,"Take A Look Around","Limp Bizkit",False,321040,70,"Chocolate Starfish And The Hot Dog Flavored Water",album,2000-10-17,15
20,2000,20,"Shape of My Heart","Backstreet Boys",False,230093,69,"Black & Blue",album,2000-11-21,13
21,2000,21,"Party Up","DMX",True,268866,68,"...And Then There Was X",album,1999-12-21,18
22,2000,22,"Forgot About Dre","Dr. Dre",True,222293,76,"2001",album,1999-11-16,23
23,2000,23,"Jumpin', Jumpin'","Destiny's Child",False,230200,67,"The Writing's On The Wall",album,1999-07-27,16
24,2000,24,"Sandstorm","Darude",False,225493,67,"Before the Storm, Special Edition",album,2001-01-01,20
25,2000,25,"Amazed","Lonestar",False,240866,67,"Lonely Grill",album,1999,12
26,2000,26,"7 Days","Craig David",False,235133,67,"Born to Do It",album,2000-08-14,12
27,2000,27,"My Love","Westlife",False,231760,67,"Coast To Coast (Expanded Edition)",album,2000,19
28,2000,28,"Higher","Creed",False,316733,67,"Human Clay",album,1999-01-01,12
29,2000,29,"Show Me the Meaning of Being Lonely","Backstreet Boys",False,234960,66,"Millennium",album,1999-05-18,12
30,2000,30,"Big Pimpin'","JAY-Z",True,283066,66,"Vol. 3... Life And Times Of S. Carter",album,1999-12-28,16
31,2000,31,"Country Grammar (Hot Shit)","Nelly",True,287000,65,"Country Grammar",album,2000-06-27,17
32,2000,32,"Can't Fight The Moonlight","LeAnn Rimes",False,215506,65,"I Need You",album,2001-01-30,15
